Unique ID,Start Date,End Date,"Q1. What is your current age? 
(Age)","Q2. What is your gender? 
(Gender)","Q3. Which of the following best describes the area or community in which you live? 
(Urban/Rural)","Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes. 
(Income)","Q6 Which of the following types of alcoholic beverages have you consumed in the past 4 weeks?
(Alcohol Category)",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,"Q7. Which of the following beer types of have you consumed in the past 4 weeks? 
(Beer Category )",Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,"Q9. How relevant would you say the shown product is to you based on what you saw and read?
(Concept Relevance)","Q10. How appealing or unappealing is the shown product  to you?
(Concept Appeal)","Q11. How different do you think the shown product is from other beers currently available for purchase?
(Concept Differentiation)","Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are?
(Concept Beleivability)","Q13. How does the price fit with what you’d expect the shown to cost?
(Concept_Price)","Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores?
(Concept_Purchase Intent)","Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products?
(Concept_Drinking Frequency)",Q16A. What is the most important thing you LIKE about the shown concept}?     This can include anything you would want kept for sure or aspects that might drive you to buy or try it…       Please type a detailed response in the space below,"Q16B. What is the most important thing you DISLIKE about the shown concept}?    This can include general concerns, annoyances, or any aspects of the product that need fixed for this to be more appealing to you...     Please type a detailed response in the space below.","Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…? 
(Concept_Replacement Product)","Q18_1 What specific product that you are currently using would the shown product replace?
 Please type in ONE specific brand or product per space provided.","Q18_2 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.","Q18_3 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided.",OE_Quality_Flag,Unnamed: 36,"Q18_1 What specific product that you are currently using would the shown product replace?
 Please type in ONE specific brand or product per space provided._flag","Q18_2 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided._flag","Q18_3 What specific product that you are currently using would the shown concept replace?
 Please type in ONE specific brand or product per space provided._flag"
,,,,,,,Beer, Flavored/Mixed Beer, Non-Alcoholic Beers, Hard Ciders, Hard Kombucha, Wine, Hard Beverage, Distilled Spirits,Domestic Light Beer,Domestic Regular Beer,Low Calorie Carb Beer,Domestic Craft,Imported Mexican Beer,Other Imported Beer,Non-Alcoholic Beer,,,,,,,,,,,,,,,,0,0,0
1.0,2024-10-11 09:41:31,2024-10-11 09:49:38,62.0,2.0,3.0,1.0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,It's a classic brand.,Nothing specific to dislike.,1.0,,,,0.0,,0,0,0
2.0,2024-10-11 09:41:41,2024-10-11 09:50:42,35.0,1.0,1.0,12.0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,4.0,4.0,3.0,3.0,3.0,5.0,7.0,Taste,The glass,1.0,,,,0.0,,0,0,0
9.0,2024-10-11 09:41:03,2024-10-11 09:57:26,62.0,1.0,3.0,4.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.0,4.0,3.0,3.0,4.0,3.0,7.0,Why?,Pure is a misnomer,1.0,,,,1.0,,0,0,0
22.0,2024-10-11 10:14:09,2024-10-11 10:22:43,64.0,1.0,1.0,11.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,I have a lot to say,Not really,2.0,,Beer,Drink,1.0,,0,0,1
30.0,2024-10-11 10:15:41,2024-10-11 10:55:10,57.0,2.0,1.0,4.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4.0,5.0,1.0,3.0,3.0,5.0,7.0,I love Michelob brand and the bottle shape and color is ery appealing,There is nothing I dislike,1.0,,,,0.0,,0,0,0
34.0,2024-10-11 11:28:26,2024-10-11 11:39:04,61.0,1.0,3.0,11.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,it's michelob,nothing,2.0,michelob ultra,na,na,0.0,,0,1,1
54.0,2024-10-12 06:16:39,2024-10-12 06:30:17,54.0,2.0,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,1.0,4.0,2.0,3.0,1.0,0.0,I don't,Dislike,1.0,,,,1.0,,0,0,0
68.0,2024-10-12 10:11:18,2024-10-12 10:28:37,42.0,1.0,1.0,12.0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,4.0,4.0,4.0,3.0,4.0,5.0,7.0,"Michelob ULTRA Pure Gold is distinguished by its use of organic ingredients and refreshing taste, with low calories.",Nothing,3.0,Other Light lagers,regular lagers or ales,Hard Seltzers,0.0,,0,0,1
82.0,2024-10-12 12:33:39,2024-10-12 12:44:25,25.0,2.0,1.0,4.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,That it had less calories,Nothing,1.0,,,,0.0,,0,0,0
110.0,2024-10-12 14:50:54,2024-10-12 14:59:54,51.0,1.0,3.0,7.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,3.0,3.0,3.0,2.0,3.0,2.0,6.0,No response,No response,1.0,,,,1.0,,0,0,0
116.0,2024-10-12 14:42:18,2024-10-12 15:28:04,57.0,1.0,2.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,4.0,3.0,4.0,3.0,5.0,6.0,Smooth taste,I prefer Ultra Gold  nothing that I dislike,1.0,,,,0.0,,0,0,0
122.0,2024-10-12 15:30:35,2024-10-12 15:41:45,46.0,1.0,2.0,1.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,I would buy it if they were out of my regular beer. It's not bad and is more refreshing than some other light beers.,It can be a bit harsh on the after taste but not too bad.,2.0,Keystone,Bud Light,Budweiser,0.0,,0,0,0
139.0,2024-10-12 17:34:12,2024-10-12 17:42:37,33.0,1.0,2.0,5.0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,I don’t like it.,It looks bad.,2.0,Budweiser,Carona,Miller,1.0,,0,1,0
164.0,2024-10-12 18:59:49,2024-10-12 19:35:08,54.0,2.0,3.0,4.0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,I have try it see how smoothly it goes down,I have no dislikes,2.0,Corona,Bud light,Miller light,0.0,,0,0,0
186.0,2024-10-12 23:03:58,2024-10-12 23:13:05,43.0,2.0,1.0,8.0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,I like michelob,Nothing,1.0,,,,0.0,,0,0,0
220.0,2024-10-13 06:40:06,2024-10-13 06:53:11,45.0,2.0,1.0,8.0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,5.0,5.0,4.0,4.0,2.0,5.0,7.0,I like the taste and it doesn't leave my gut feeling heavy,I don't dislike anything,3.0,Budweiser,Miller high Life,211,0.0,,0,0,1
243.0,2024-10-13 11:21:06,2024-10-13 11:31:15,34.0,1.0,2.0,11.0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,5.0,4.0,3.0,3.0,4.0,5.0,6.0,Quality,Not sure,2.0,Good,Gold,Usda,1.0,,1,1,1
248.0,2024-10-13 11:43:04,2024-10-13 11:57:57,37.0,1.0,1.0,11.0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,4.0,4.0,4.0,3.0,2.0,5.0,7.0,really good qualiyt and good offerings,the taste could be stronger,1.0,,,,0.0,,0,0,0
252.0,2024-10-13 12:08:03,2024-10-13 12:23:55,63.0,1.0,1.0,11.0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,5.0,5.0,4.0,4.0,3.0,5.0,7.0,It has a smooth and refreshing taste,Nothing,2.0,Golsh,Bud lite,Bud dry,0.0,,1,1,1
257.0,2024-10-13 13:01:36,2024-10-13 13:14:43,64.0,1.0,4.0,6.0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1.0,1.0,2.0,3.0,3.0,1.0,0.0,i didnt say i did,i dont do light beer,1.0,,,,0.0,,0,0,0
294.0,2024-10-13 15:57:50,2024-10-13 16:14:05,54.0,2.0,1.0,6.0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,Low calorie and low carbs,It is a brand my father used to drink.,1.0,,,,0.0,,0,0,0
324.0,2024-10-13 18:19:58,2024-10-13 18:29:51,33.0,1.0,5.0,12.0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,5.0,5.0,5.0,4.0,3.0,4.0,6.0,The taste and quality,,1.0,,,,0.0,,0,0,0
351.0,2024-10-13 20:51:53,2024-10-13 21:01:28,61.0,1.0,3.0,11.0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,I liked the colors that were used.  I also liked that it was light.,There was nothing that I did not like about it.,1.0,,,,0.0,,0,0,0
382.0,2024-10-13 23:32:56,2024-10-14 00:00:56,53.0,1.0,2.0,11.0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,Better name,Don't dislike it it's just preferable not my drink,1.0,,,,0.0,,0,0,0
419.0,2024-10-14 10:35:57,2024-10-14 10:43:15,30.0,1.0,4.0,7.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,It sounds interesting,none,2.0,coors light,keystone light,bud light,0.0,,0,0,0
420.0,2024-10-14 10:38:15,2024-10-14 10:50:52,50.0,1.0,2.0,9.0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,5.0,5.0,5.0,4.0,3.0,5.0,7.0,Its packaging is appealing right off the bat. Its rich and thick taste basically makes my mouth salivate.,It looks perfect.,3.0,Corona,Beck’s,Heineken,0.0,,0,1,0
446.0,2024-10-14 19:06:55,2024-10-14 19:15:03,49.0,1.0,5.0,11.0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,4.0,4.0,4.0,4.0,2.0,4.0,7.0,"It looks refreshing and delicious,  I like the low calorie feature",Theres nothing that I disliked about it,2.0,Heineken silver,Modelo,Dos equis,0.0,,0,0,1
481.0,2024-10-15 19:22:22,2024-10-15 19:30:06,45.0,1.0,1.0,1.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,4.0,3.0,3.0,3.0,4.0,7.0,The price,I dislike nothing,1.0,,,,1.0,,0,0,0
508.0,2024-10-16 06:46:36,2024-10-16 07:07:49,37.0,1.0,3.0,9.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.0,4.0,3.0,3.0,3.0,4.0,7.0,i like that the beer is light. It seems healthier.,I dislike nothing.,2.0,miller light,hienkin,coors light,0.0,,0,1,0
538.0,2024-10-16 18:23:02,2024-10-16 18:32:02,30.0,1.0,1.0,11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.0,5.0,5.0,3.0,4.0,4.0,6.0,The bottle design & fonts.,The price,1.0,,,,0.0,,0,0,0
567.0,2024-10-17 01:22:05,2024-10-17 01:28:19,32.0,1.0,2.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.0,4.0,4.0,2.0,4.0,3.0,4.0,I don’t like anything,Nothing,2.0,Montser,Water,Gatedade,1.0,,0,1,1
595.0,2024-10-17 07:53:47,2024-10-17 08:07:49,33.0,2.0,1.0,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.0,4.0,5.0,4.0,3.0,5.0,6.0,Healthier,,2.0,Modelo,Corona,Stella arteois,0.0,,0,0,0
631.0,2024-10-17 14:14:28,2024-10-17 14:20:36,24.0,2.0,2.0,4.0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,It’s an ok beer,Not the best but it’s alright,2.0,Corona,Corona,Corona,1.0,,0,0,0
651.0,2024-10-17 16:20:00,2024-10-17 16:26:14,32.0,1.0,1.0,3.0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,5.0,4.0,3.0,1.0,3.0,5.0,8.0,Love the taste it’s great and light unlike other beers,Nothing at all I love this drink,2.0,Coronna,Coors light,Budweiser,0.0,,0,0,0
1730.0,2024-10-22 11:42:15,2024-10-22 12:28:19,32.0,1.0,1.0,11.0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,Test are very good.,None are dislike this.,2.0,Teasty,Cool,Original,1.0,1.0,1,0,0
1772.0,2024-10-23 10:50:24,2024-10-23 11:05:46,60.0,2.0,3.0,7.0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,85 calories,"Price, 9.99 is a little pricey",2.0,Michelob Ultra,Corona light,Bud light,0.0,,0,0,0
1820.0,2024-10-12 12:41:32,2024-10-12 12:51:59,33.0,1.0,3.0,12.0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,5.0,5.0,4.0,4.0,5.0,5.0,8.0,The taste is so smooth,Nothing what so ever,3.0,Bud Light,Heineken,Modelo,0.0,,0,0,0
1825.0,2024-10-22 04:43:19,2024-10-22 04:52:46,39.0,1.0,1.0,12.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5.0,5.0,5.0,4.0,3.0,5.0,7.0,The brand and the taste,Nothing,3.0,Veltins,Stella,Bud light,0.0,,1,1,0
1873.0,2024-10-21 18:28:29,2024-10-21 19:04:32,30.0,2.0,4.0,8.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,Low calorie,I can't say I dislike anything about it visually,1.0,,,,0.0,,0,0,0
1911.0,2024-10-22 01:10:12,2024-10-22 01:24:08,43.0,1.0,3.0,12.0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,5.0,5.0,5.0,4.0,3.0,5.0,6.0,the whole product was great,none of it,2.0,pure,natural,great taste,1.0,,1,1,1
1940.0,2024-10-21 19:14:58,2024-10-21 19:37:07,36.0,2.0,2.0,10.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,Nothing in particular,Nothing,2.0,Coors,Bud light,Budweiser,0.0,1.0,0,0,0
1990.0,2024-10-13 06:40:41,2024-10-13 06:57:30,57.0,2.0,2.0,4.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,It's not a heavy beer,It just does not have that creative a flavor,1.0,,,,0.0,,0,0,0
2041.0,2024-10-17 09:23:44,2024-10-17 09:33:04,53.0,1.0,2.0,8.0,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,It is crisp and refreshing,Nothing,1.0,,,,0.0,,0,0,0
2083.0,2024-10-22 19:47:36,2024-10-22 20:00:20,36.0,1.0,1.0,11.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,Well if i will like anything about it will be the alcohol percentage it have,I just prefer other brands with much greater taste,1.0,,,,0.0,,0,0,0
2124.0,2024-10-22 22:51:03,2024-10-22 23:01:59,46.0,2.0,2.0,4.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,2.0,3.0,2.0,2.0,3.0,7.0,Nothing,Nothing,1.0,,,,0.0,,0,0,0
2128.0,2024-10-22 19:45:01,2024-10-22 19:49:45,27.0,1.0,5.0,7.0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,5.0,5.0,5.0,4.0,3.0,5.0,6.0,I like how light it tastes,Nothing,3.0,Monster hard,Mikes hard,Reds apple ale,0.0,1.0,0,0,1
2188.0,2024-10-17 23:25:16,2024-10-17 23:32:37,29.0,1.0,3.0,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.0,4.0,3.0,3.0,3.0,4.0,8.0,i like,none this,2.0,corona,hin,we,1.0,,0,1,1
2243.0,2024-10-21 23:14:11,2024-10-21 23:21:54,27.0,1.0,1.0,11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.0,4.0,5.0,4.0,4.0,5.0,6.0,It is a brand with a unique and different taste,Nothing,3.0,Star,Budweiser's,Heineken,0.0,,1,0,0
2282.0,2024-10-22 00:34:29,2024-10-22 00:42:43,49.0,2.0,4.0,5.0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2.0,2.0,2.0,3.0,5.0,1.0,3.0,,I do not like the flavor. The cost is too expensive.,1.0,,,,0.0,,0,0,0
2338.0,2024-10-21 20:40:24,2024-10-21 21:00:29,48.0,1.0,2.0,1.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3.0,3.0,3.0,2.0,3.0,2.0,6.0,Don't drink it,Don't drink it,2.0,Budwiser,High life,Natural light,1.0,,0,1,0
2389.0,2024-10-22 05:04:54,2024-10-22 05:09:13,32.0,2.0,1.0,10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.0,5.0,5.0,4.0,3.0,5.0,8.0,I like this new idea,nothing I dislike,3.0,heinekein,coors,coors light,0.0,,0,0,0
2441.0,2024-10-14 02:07:36,2024-10-14 02:15:04,24.0,1.0,3.0,6.0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,Overall everything is good,Not much overall,2.0,Coors natural,Miller genuine,Corona premier,0.0,,0,0,0
2472.0,2024-10-18 06:01:04,2024-10-18 06:13:14,45.0,1.0,3.0,7.0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,4.0,4.0,4.0,3.0,3.0,4.0,7.0,I like that it's a premium light beer,I don't like the price,2.0,Budweiser,Bud light,Coors light,0.0,,0,0,0
2484.0,2024-10-22 23:08:04,2024-10-22 23:21:28,38.0,2.0,4.0,1.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,Nothing about this jumps out at me to purchase thos beer at all.,It boring,1.0,,,,0.0,,0,0,0
2503.0,2024-10-23 12:46:39,2024-10-23 12:57:25,64.0,2.0,3.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,4.0,3.0,3.0,5.0,1.0,4.0,The bottle,I dislike tge color,3.0,Coors,Budweiser,Miller,0.0,,0,0,0
2535.0,2024-10-23 13:27:37,2024-10-23 13:57:50,32.0,1.0,5.0,1.0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,5.0,5.0,4.0,4.0,3.0,5.0,8.0,It’s smooth making it very tasty,Nothing it’s perfect like it is,2.0,Mechelob,Bud light,Budweiser55,0.0,,0,0,0
2554.0,2024-10-23 14:19:31,2024-10-23 14:35:23,62.0,1.0,5.0,8.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1.0,2.0,1.0,2.0,3.0,5.0,1.0,I like the commercials,not a big fan of the flavor,1.0,,,,0.0,,0,0,0
2590.0,2024-10-23 14:43:28,2024-10-23 14:56:23,53.0,1.0,2.0,3.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.0,4.0,1.0,3.0,4.0,4.0,7.0,I have never drank it but it looks smooth and good,Nothing,3.0,Bud light,Miller,Millier light,0.0,,0,0,0
2596.0,2024-10-23 14:44:07,2024-10-23 15:02:11,59.0,1.0,3.0,8.0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,I like the packaging,It is a light beer so I’m concerned about the taste,1.0,,,,0.0,,0,0,0
2625.0,2024-10-23 15:25:25,2024-10-23 15:37:07,34.0,1.0,4.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,4.0,4.0,3.0,4.0,4.0,8.0,Low carbs,Taste,2.0,Bud light,Steel reserve,Bud ice,0.0,,0,0,0
2658.0,2024-10-23 16:20:40,2024-10-23 16:52:06,30.0,2.0,1.0,5.0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,Great price. Pretty bottle. Low calorie,Uses the word gold too much. Tries to sound elite. Like its really desperate to make me feel cool while drinking it but none gives a damn what beer people drink in the real world,2.0,Lone star,White claw,Shiner bock,0.0,,1,1,0
2660.0,2024-10-23 17:25:09,2024-10-23 17:35:57,41.0,2.0,5.0,3.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,,,2.0,,,,1.0,,0,0,0
2671.0,2024-10-23 18:24:43,2024-10-23 18:41:32,65.0,1.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,2.0,1.0,2.0,4.0,3.0,5.0,nothing,nothing,1.0,,,,0.0,,0,0,0
2689.0,2024-10-23 19:26:04,2024-10-23 19:44:09,63.0,1.0,3.0,8.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.0,5.0,3.0,3.0,3.0,4.0,7.0,Homegrown ingredients and organic,The product looks great.,1.0,,,,0.0,,0,0,0
2709.0,2024-10-23 22:20:17,2024-10-23 22:31:16,63.0,2.0,1.0,1.0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,3.0,3.0,3.0,4.0,3.0,4.0,6.0,I love lagersand I like the fact that it's an extra light lager.,"it's possible, it may be too light and feel too watery.",2.0,Corona Light,Stella Artrois,Coors Light,0.0,,0,0,0
2719.0,2024-10-24 06:49:00,2024-10-24 06:56:28,54.0,2.0,3.0,11.0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,5.0,5.0,5.0,4.0,3.0,5.0,6.0,Everything about it,Nothing,1.0,,,,1.0,,0,0,0
2749.0,2024-10-24 11:48:41,2024-10-24 11:58:57,55.0,1.0,5.0,6.0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,Half price on the 1st of every month,No built in insulator to keep it cold,1.0,,,,1.0,,0,0,0
2756.0,2024-10-24 11:57:59,2024-10-24 12:10:21,51.0,2.0,3.0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,The taste,Nothing,2.0,Budwizer,Bush,Corsa,0.0,,1,1,1
2761.0,2024-10-24 12:11:03,2024-10-24 12:21:55,31.0,2.0,1.0,12.0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,It’s low calorie and low carb,It may taste too watered down,2.0,Old Style,Stella,Coors,0.0,,1,1,0
2796.0,2024-10-24 12:42:06,2024-10-24 12:53:44,63.0,2.0,3.0,8.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,it's low carb and light,I dislike nothing,2.0,Michelob light,natural light,Michelob ultra,0.0,,0,0,0
2850.0,2024-10-24 13:03:22,2024-10-24 13:16:21,29.0,2.0,1.0,8.0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,4.0,4.0,3.0,3.0,3.0,4.0,7.0,I like that it has low calories and carbs.,It doesn't really say how it's different than any other brand or version of this.,2.0,Bud Light,Michelob Ultra,Hard Cider,0.0,,0,0,0
2898.0,2024-10-24 13:31:24,2024-10-24 13:35:24,38.0,1.0,3.0,5.0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5.0,5.0,5.0,4.0,1.0,5.0,8.0,I just like it.,I love it all.,1.0,,,,0.0,,0,0,0
2937.0,2024-10-24 13:26:53,2024-10-24 13:46:59,58.0,1.0,3.0,5.0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,Low calories and carbs,Low % ABV,1.0,,,,0.0,,0,0,0
2944.0,2024-10-24 13:44:26,2024-10-24 13:48:42,25.0,1.0,3.0,9.0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,3.0,4.0,3.0,2.0,4.0,4.0,6.0,I enjoy the brand. Good idea.,No,2.0,Bud Light,No,no,1.0,,0,0,0
2979.0,2024-10-24 13:40:17,2024-10-24 13:55:50,38.0,2.0,5.0,7.0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,Low Carb,Dislike nothing,2.0,michelob ultra,,,0.0,,0,0,0
3019.0,2024-10-24 13:47:24,2024-10-24 14:02:57,29.0,2.0,3.0,11.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,Low cal and carbs,Price,2.0,Miller Light,,,0.0,,0,0,0
3050.0,2024-10-24 13:49:39,2024-10-24 14:09:49,62.0,1.0,3.0,1.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0,2.0,5.0,3.0,3.0,1.0,0.0,Nothing,Everything - does not look appealing at all,1.0,,,,0.0,,0,0,0
3099.0,2024-10-24 14:00:35,2024-10-24 14:23:52,59.0,2.0,3.0,4.0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,4.0,4.0,4.0,3.0,3.0,4.0,7.0,Love the package it's low calorie great description of the beer,No dislikes,1.0,,,,0.0,,0,0,0
3136.0,2024-10-24 14:29:37,2024-10-24 14:39:27,52.0,1.0,1.0,12.0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,5.0,5.0,5.0,4.0,5.0,5.0,8.0,It is very tasty,It is sometime worth,3.0,Hinekone,Hyatt,Walmart,0.0,,1,1,0
3165.0,2024-10-24 14:48:15,2024-10-24 15:08:03,31.0,1.0,1.0,10.0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,The golden color makes it look like it tastes very good,It doesn't really differentiate itself from any of the other beers like this. But that's not a deal breaker on my end,2.0,Coors Light,Bud Light,Corona,0.0,,0,0,0
3198.0,2024-10-24 16:17:11,2024-10-24 16:36:21,37.0,2.0,3.0,11.0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,Has a good taste,No available everywhere,1.0,,,,0.0,,0,0,0
3216.0,2024-10-24 18:04:07,2024-10-24 18:15:59,47.0,2.0,3.0,11.0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,4.0,4.0,2.0,3.0,3.0,3.0,7.0,Low calorie and low carb.,Nothing,2.0,Miller light,Corona premiere,Michelob ultra,0.0,,0,0,0
